_id,invoice_id,invoice_number,customer_id,employee_id,items[0].name,items[1].name,items[2].name,items[3].name,items[4].name,items[0].price,items[1].price,items[2].price,items[3].price,items[4].price,items[0].product_id,items[1].product_id,items[2].product_id,items[3].product_id,items[4].product_id,items[0].qty,items[1].qty,items[2].qty,items[3].qty,items[4].qty,items[0].total,items[1].total,items[2].total,items[3].total,items[4].total,discount,net,created_at
69c90a05c97dfe5144452dc3,INV1000,INV3910730898,c317,emp37,Bajaj Mouse 8421,Philips Lipstick 4643,,,,23363,45064,,,,P233,P304,,,,2,3,,,,46726,135192,,,,3,175893.47999999998,2026-01-24
69c90a05c97dfe5144452dc4,INV1001,INV8238560503,c116,emp91,Bosch Planner 5945,Black & Decker Soundbar 7487,Redmi 10 Prime Gen 10,,,41035,11111,28434,,,P329,P429,P401,,,5,5,4,,,205175,55555,113736,,,5,349167.77,2026-02-12
69c90a05c97dfe5144452dc5,INV1002,INV9028219741,c25,emp94,Bajaj Cleaning Brush 1546,Usha Air Cooler 7906,Sharp Projector 1213,,,15932,49281,18975,,,P372,P6,P430,,,4,3,3,,,63728,147843,56925,,,5,256753.5,2026-02-01
69c90a05c97dfe5144452dc6,INV1003,INV9657014796,c242,emp49,Bosch Plant Pot 4462,Sony Bravia 55 inch Gen 8,Corsair Grill 8476,,,5652,12268,32671,,,P181,P405,P350,,,5,3,4,,,28260,36804,130684,,,7,181560.32,2026-01-25
69c90a05c97dfe5144452dc7,INV1004,INV2506833243,c169,emp53,Usha Tool Box 8882,TP-Link Jack 4663,Logitech Tool Box 5821,Bajaj Fan 1891,,24719,21230,5497,45375,,P188,P165,P388,P21,,1,4,5,1,,24719,84920,27485,45375,,2,171996.84999999998,2025-06-02
69c90a05c97dfe5144452dc8,INV1005,INV8500828288,c121,emp69,Philips Shoes 233,Panasonic Wardrobe 376,Stanley Pump 154,Bajaj Mouse 8421,,139,20984,32083,28697,,P472,P260,P366,P233,,3,4,2,3,,417,83936,64166,86091,,7,216074.25,2025-11-01
69c90a05c97dfe5144452dc9,INV1006,INV6811604886,c306,emp95,iPad Pro 11 inch Gen 3,Lenovo Tab P11,Nikon Z6 II,,,43404,33910,18755,,,P409,P9,P12,,,3,2,1,,,130212,67820,18755,,,4,206625.84999999998,2025-03-11
69c90a05c97dfe5144452dca,INV1007,INV1855553384,c293,emp29,Bajaj Highlighter 7032,Bosch Geyser 4545,Black & Decker Water Purifier 5140,,,2770,42082,39583,,,P317,P220,P219,,,4,5,5,,,11080,210410,197915,,,8,398241.45,2025-11-15
69c90a05c97dfe5144452dcb,INV1008,INV1206564849,c264,emp30,Bosch Mirror 2709,Philips Cupboard 3418,Black & Decker Hair Dryer 2675,Hitachi Scanner 3578,Eureka Forbes Microwave 878,24721,34804,33553,17259,44847,P267,P265,P301,P14,P415,2,5,5,3,3,49442,174020,167765,51777,134541,1,543122.79,2025-03-24
69c90a05c97dfe5144452dcc,INV1009,INV5006816072,c462,emp18,Philips Carpet 5279,Eureka Forbes Doorbell 8138,Bajaj Pencil 8990,Boat Rockerz 450 Gen 10,Black & Decker Curtains 8404,46748,6136,13112,14560,6824,P268,P453,P313,P210,P254,3,3,4,4,5,140244,18408,52448,58240,34120,4,278731.76,2025-03-29
