_id,sale_id,invoice_id,invoice_number,product_id,customer_id,employee_id,qty,total,date
69c90a05c97dfe5144452fb7,s1,INV1000,INV3910730898,P233,c317,emp37,2,46726,2026-01-24
69c90a05c97dfe5144452fb8,s2,INV1000,INV3910730898,P304,c317,emp37,3,135192,2026-01-24
69c90a05c97dfe5144452fb9,s3,INV1001,INV8238560503,P329,c116,emp91,5,205175,2026-02-12
69c90a05c97dfe5144452fba,s4,INV1001,INV8238560503,P429,c116,emp91,5,55555,2026-02-12
69c90a05c97dfe5144452fbb,s5,INV1001,INV8238560503,P401,c116,emp91,4,113736,2026-02-12
69c90a05c97dfe5144452fbc,s6,INV1002,INV9028219741,P372,c25,emp94,4,63728,2026-02-01
69c90a05c97dfe5144452fbd,s7,INV1002,INV9028219741,P6,c25,emp94,3,147843,2026-02-01
69c90a05c97dfe5144452fbe,s8,INV1002,INV9028219741,P430,c25,emp94,3,56925,2026-02-01
69c90a05c97dfe5144452fbf,s9,INV1003,INV9657014796,P181,c242,emp49,5,28260,2026-01-25
69c90a05c97dfe5144452fc0,s10,INV1003,INV9657014796,P405,c242,emp49,3,36804,2026-01-25
69c90a05c97dfe5144452fc1,s11,INV1003,INV9657014796,P350,c242,emp49,4,130684,2026-01-25
69c90a05c97dfe5144452fc2,s12,INV1004,INV2506833243,P188,c169,emp53,1,24719,2025-06-02
69c90a05c97dfe5144452fc3,s13,INV1004,INV2506833243,P165,c169,emp53,4,84920,2025-06-02
69c90a05c97dfe5144452fc4,s14,INV1004,INV2506833243,P388,c169,emp53,5,27485,2025-06-02
69c90a05c97dfe5144452fc5,s15,INV1004,INV2506833243,P21,c169,emp53,1,45375,2025-06-02
69c90a05c97dfe5144452fc6,s16,INV1005,INV8500828288,P472,c121,emp69,3,417,2025-11-01
69c90a05c97dfe5144452fc7,s17,INV1005,INV8500828288,P260,c121,emp69,4,83936,2025-11-01
69c90a05c97dfe5144452fc8,s18,INV1005,INV8500828288,P366,c121,emp69,2,64166,2025-11-01
69c90a05c97dfe5144452fc9,s19,INV1005,INV8500828288,P233,c121,emp69,3,86091,2025-11-01
69c90a05c97dfe5144452fca,s20,INV1006,INV6811604886,P409,c306,emp95,3,130212,2025-03-11
69c90a05c97dfe5144452fcb,s21,INV1006,INV6811604886,P9,c306,emp95,2,67820,2025-03-11
69c90a05c97dfe5144452fcc,s22,INV1006,INV6811604886,P12,c306,emp95,1,18755,2025-03-11
69c90a05c97dfe5144452fcd,s23,INV1007,INV1855553384,P317,c293,emp29,4,11080,2025-11-15
69c90a05c97dfe5144452fce,s24,INV1007,INV1855553384,P220,c293,emp29,5,210410,2025-11-15
69c90a05c97dfe5144452fcf,s25,INV1007,INV1855553384,P219,c293,emp29,5,197915,2025-11-15
69c90a05c97dfe5144452fd0,s26,INV1008,INV1206564849,P267,c264,emp30,2,49442,2025-03-24
69c90a05c97dfe5144452fd1,s27,INV1008,INV1206564849,P265,c264,emp30,5,174020,2025-03-24
69c90a05c97dfe5144452fd2,s28,INV1008,INV1206564849,P301,c264,emp30,5,167765,2025-03-24
69c90a05c97dfe5144452fd3,s29,INV1008,INV1206564849,P14,c264,emp30,3,51777,2025-03-24
69c90a05c97dfe5144452fd4,s30,INV1008,INV1206564849,P415,c264,emp30,3,134541,2025-03-24
69c90a05c97dfe5144452fd5,s31,INV1009,INV5006816072,P268,c462,emp18,3,140244,2025-03-29
69c90a05c97dfe5144452fd6,s32,INV1009,INV5006816072,P453,c462,emp18,3,18408,2025-03-29
